,act_fun,batch_size,dropout_frac,lr,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
378,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,350,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4745762711864407,0.808641975308642
380,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,350,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4745762711864407,0.808641975308642
589,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,300,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4745762711864407,0.808641975308642
594,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,350,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4745762711864407,0.808641975308642
379,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,350,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4745762711864407,0.808641975308642
296,<function selu at 0x7f5bf5c0bba0>,128,0.75,0.0001,250,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4745762711864407,0.808641975308642
583,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,250,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4745762711864407,0.808641975308642
576,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4745762711864407,0.808641975308642
18,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.0001,350,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4745762711864407,0.808641975308642
19,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.0001,350,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4745762711864407,0.808641975308642
163,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,350,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4745762711864407,0.808641975308642
162,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,350,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4745762711864407,0.808641975308642
297,<function selu at 0x7f5bf5c0bba0>,128,0.75,0.0001,250,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4745762711864407,0.808641975308642
381,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,350,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4745762711864407,0.808641975308642
