,act_fun,batch_size,dropout_frac,lr,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc,MCC
108,<function selu at 0x7f91431e4ae0>,256,0.7,0.0001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9468791500664011,0.9011124845488258,0.28088175140458965
109,<function selu at 0x7f91431e4ae0>,256,0.7,0.0001,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9468791500664011,0.9011124845488258,0.28088175140458965
110,<function selu at 0x7f91431e4ae0>,256,0.7,0.0001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9484126984126984,0.9035846724351051,0.2507081451252984
111,<function selu at 0x7f91431e4ae0>,256,0.7,0.0001,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9484126984126984,0.9035846724351051,0.2507081451252984
112,<function selu at 0x7f91431e4ae0>,256,0.7,1e-05,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9537648612945839,0.9134734239802225,0.3234844482058425
113,<function selu at 0x7f91431e4ae0>,256,0.7,1e-05,300,"[5000, 2500]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9537648612945839,0.9134734239802225,0.3234844482058425
114,<function selu at 0x7f91431e4ae0>,256,0.7,1e-05,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9661458333333334,0.9357231149567367,0.34865942394639615
115,<function selu at 0x7f91431e4ae0>,256,0.7,1e-05,300,"[8192, 4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9661458333333334,0.9357231149567367,0.34865942394639615
116,<function selu at 0x7f91431e4ae0>,256,0.7,1e-05,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9647519582245431,0.9332509270704573,0.3588159863892185
117,<function selu at 0x7f91431e4ae0>,256,0.7,1e-05,300,"[4096, 2048, 1024, 512, 256]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9647519582245431,0.9332509270704573,0.3588159863892185
118,<function selu at 0x7f91431e4ae0>,256,0.7,1e-05,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,1e-05,0.0001,0.9701298701298702,0.9431396786155748,0.3937373098986765
119,<function selu at 0x7f91431e4ae0>,256,0.7,1e-05,300,"[4096, 2048, 1024, 512, 256, 128]",<class 'torch.optim.adamw.AdamW'>,75,0.0,0.0001,0.9701298701298702,0.9431396786155748,0.3937373098986765
